hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days,decision_score,quality_score,rut_label,moon_label,competition_label,apps_per_permit_2025,applications_2025
Phil Bryant (Goose Lake Unit) - Archery Hunt 4,Deer Archery,Phil Bryant (Goose Lake Unit),2026-10-22,2026-10-25,24,4,2.37,1.67,Pre-Rut (Building Activity),Fair (Neutral),Low,2.75,66
Phil Bryant (Goose Lake Unit) - Archery Hunt 14,Deer Archery,Phil Bryant (Goose Lake Unit),2026-12-31,2027-01-03,24,4,2.37,2.53,Peak Rut (Prime Time),Good (Quarter Moon),High,11.96,287
Natchez State Park - Archery Hunt 12,Deer Archery,Natchez State Park,2026-12-17,2026-12-20,18,4,2.36,2.08,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),Moderate,8.78,158
Natchez State Park - Archery Hunt 4,Deer Archery,Natchez State Park,2026-10-22,2026-10-25,18,4,2.33,1.61,Pre-Rut (Building Activity),Fair (Neutral),Low,4.17,75
Sky Lake - Archery Hunt 2,Deer Archery,Sky Lake,2026-10-08,2026-10-10,15,3,2.32,2.02,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,8.47,127
Tuscumbia - PW Hunt 2,Deer Primitive Weapon,Tuscumbia,2026-10-08,2026-10-11,8,4,2.32,2.03,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,8.38,67
Phil Bryant (Goose Lake Unit) - Archery Hunt 13,Deer Archery,Phil Bryant (Goose Lake Unit),2026-12-24,2026-12-27,24,4,2.31,2.02,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,9.0,216
Phil Bryant (Ten Point Unit) - Archery Hunt 6,Deer Archery,Phil Bryant (Ten Point Unit),2026-11-05,2026-11-08,24,4,2.31,2.01,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,7.88,189
Twin Oaks - Archery Hunt 5,Deer Archery,Twin Oaks,2026-10-15,2026-10-16,15,2,2.31,1.59,Pre-Rut (Building Activity),Good (Quarter Moon),Low,4.4,66
Phil Bryant (Ten Point Unit) - Youth Hunt 1,Deer Youth,Phil Bryant (Ten Point Unit),2026-12-24,2026-12-27,24,4,2.31,2.02,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,6.67,160
Mahannah - Archery Hunt 3,Deer Archery,Mahannah,2026-10-08,2026-10-09,20,2,2.3,2.0,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,9.05,181
Charles Ray Nix - PW Hunt 1,Deer Primitive Weapon,Charles Ray Nix,2026-11-21,2026-11-25,50,5,2.3,2.0,Pre-Rut (Building Activity),Fair (Neutral),Moderate,5.82,291
Twin Oaks - Archery Hunt 6,Deer Archery,Twin Oaks,2026-10-18,2026-10-19,15,2,2.28,1.55,Pre-Rut (Building Activity),Good (Quarter Moon),Low,4.73,71
Natchez State Park - Youth Hunt 4,Deer Youth,Natchez State Park,2026-11-14,2026-11-15,10,2,2.28,1.54,Pre-Rut (Building Activity),Good (Quarter Moon),Low,4.5,45
Alligator - PW Hunt 3,Deer Primitive Weapon,Alligator,2026-11-30,2026-12-06,36,7,2.27,2.17,Pre-Rut (Building Activity),Good (Quarter Moon),Unknown (new or unmatched),,
Cossar State Park - Senior Hunt 1,Deer Senior,Cossar State Park,2026-12-30,2027-01-03,2,5,2.27,2.39,Peak Rut (Prime Time),Good (Quarter Moon),High,13.0,26
Sky Lake - PW Hunt 8,Deer Primitive Weapon,Sky Lake,2026-12-31,2027-01-02,15,3,2.26,2.36,Peak Rut (Prime Time),Good (Quarter Moon),High,14.0,210
Twin Oaks - PW Hunt 2,Deer Primitive Weapon,Twin Oaks,2026-11-08,2026-11-09,15,2,2.26,1.95,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,5.93,89
Phil Bryant (Buck Bayou Unit) - Archery Hunt 3,Deer Archery,Phil Bryant (Buck Bayou Unit),2026-10-08,2026-10-09,12,2,2.24,1.92,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,8.08,97
Phil Bryant (Buck Bayou Unit) - Archery Hunt 4,Deer Archery,Phil Bryant (Buck Bayou Unit),2026-10-11,2026-10-12,12,2,2.24,1.92,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,8.25,99
Trim Cane - Youth Hunt 3,Deer Youth,Trim Cane,2027-01-02,2027-01-02,6,1,2.24,2.12,Peak Rut (Prime Time),Good (Quarter Moon),Unknown (new or unmatched),,
Sky Lake - PW Hunt 7,Deer Primitive Weapon,Sky Lake,2026-12-24,2026-12-26,15,3,2.2,1.85,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,7.6,114
Twin Oaks - PW Hunt 7,Deer Primitive Weapon,Twin Oaks,2026-11-26,2026-11-27,15,2,2.2,1.43,Pre-Rut (Building Activity),Fair (Neutral),Low,4.33,65
Black Prairie - Youth Hunt 2,Deer Youth,Black Prairie,2026-12-21,2026-12-23,15,3,2.2,1.85,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,6.33,95
Sky Lake - PW Hunt 1,Deer Primitive Weapon,Sky Lake,2026-11-12,2026-11-14,15,3,2.19,1.84,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,7.67,115
Phil Bryant (Goose Lake Unit) - Archery Hunt 10,Deer Archery,Phil Bryant (Goose Lake Unit),2026-12-03,2026-12-06,24,4,2.18,1.83,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,8.67,208
Phil Bryant (Ten Point Unit) - Archery Hunt 3,Deer Archery,Phil Bryant (Ten Point Unit),2026-10-15,2026-10-18,24,4,2.18,1.83,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,7.58,182
Pascagoula River (LBTC Unit) - Senior Hunt 2,Deer Senior,Pascagoula River (LBTC Unit),2027-01-07,2027-01-10,8,4,2.17,2.03,Post-Rut (Recovery Period),Excellent (New Moon Period),Unknown (new or unmatched),,
Alligator - PW Hunt 2,Deer Primitive Weapon,Alligator,2026-11-23,2026-11-29,36,7,2.16,2.01,Pre-Rut (Building Activity),Fair (Neutral),Unknown (new or unmatched),,
Phil Bryant (Ten Point Unit) - Archery Hunt 1,Deer Archery,Phil Bryant (Ten Point Unit),2026-10-01,2026-10-04,24,4,2.15,1.79,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,9.0,216
Phil Bryant (Ten Point Unit) - Archery Hunt 5,Deer Archery,Phil Bryant (Ten Point Unit),2026-10-29,2026-11-01,24,4,2.15,1.79,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,8.58,206
Twin Oaks - PW Hunt 15,Deer Primitive Weapon,Twin Oaks,2026-12-24,2026-12-25,15,2,2.15,1.78,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,5.33,80
Hell Creek - Gun Hunt 2,Deer Gun,Hell Creek,2026-10-08,2026-10-11,25,4,2.14,2.2,Pre-Rut (Building Activity),Excellent (New Moon Period),High,10.8,270
Twin Oaks - PW Hunt 1,Deer Primitive Weapon,Twin Oaks,2026-11-05,2026-11-06,15,2,2.14,1.77,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,8.27,124
Twin Oaks - PW Hunt 3,Deer Primitive Weapon,Twin Oaks,2026-11-12,2026-11-13,15,2,2.14,1.77,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,5.73,86
Phil Bryant (Goose Lake Unit) - Archery Hunt 11,Deer Archery,Phil Bryant (Goose Lake Unit),2026-12-10,2026-12-13,24,4,2.13,2.19,Pre-Rut (Building Activity),Excellent (New Moon Period),High,14.71,353
Pascagoula River (LBTC Unit) - Youth Hunt 6,Deer Youth,Pascagoula River (LBTC Unit),2026-12-17,2026-12-20,6,4,2.12,1.96,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),Unknown (new or unmatched),,
Natchez State Park - Archery Hunt 1,Deer Archery,Natchez State Park,2026-10-01,2026-10-04,18,4,2.11,1.73,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,5.61,101
Phil Bryant (Goose Lake Unit) - Archery Hunt 12,Deer Archery,Phil Bryant (Goose Lake Unit),2026-12-17,2026-12-20,24,4,2.1,2.14,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),High,18.25,438
Natchez State Park - Archery Hunt 17,Deer Archery,Natchez State Park,2027-01-21,2027-01-24,18,4,2.08,1.26,Late Season (Food Focus),Fair (Neutral),Low,3.06,55
Phil Bryant (Ten Point Unit) - Archery Hunt 4,Deer Archery,Phil Bryant (Ten Point Unit),2026-10-22,2026-10-25,24,4,2.07,1.67,Pre-Rut (Building Activity),Fair (Neutral),Moderate,7.96,191
Sky Lake - Archery Hunt 3,Deer Archery,Sky Lake,2026-10-15,2026-10-17,15,3,2.07,1.66,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,7.0,105
Tuscumbia - PW Hunt 3,Deer Primitive Weapon,Tuscumbia,2026-10-15,2026-10-18,8,4,2.07,1.67,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,8.12,65
Trim Cane - Youth Hunt 2,Deer Youth,Trim Cane,2026-12-26,2026-12-26,6,1,2.07,1.67,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,9.33,56
Cossar State Park - Senior Hunt 3,Deer Senior,Cossar State Park,2027-01-13,2027-01-17,2,5,2.05,1.64,Post-Rut (Recovery Period),Good (Quarter Moon),Moderate,10.0,20
Sky Lake - Archery Hunt 1,Deer Archery,Sky Lake,2026-10-01,2026-10-03,15,3,2.04,1.62,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,8.73,131
Sky Lake - Archery Hunt 5,Deer Archery,Sky Lake,2026-10-29,2026-10-31,15,3,2.04,1.62,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,9.6,144
Sky Lake - PW Hunt 10,Deer Primitive Weapon,Sky Lake,2027-01-14,2027-01-16,15,3,2.04,1.62,Post-Rut (Recovery Period),Good (Quarter Moon),Moderate,7.07,106
Tuscumbia - PW Hunt 1,Deer Primitive Weapon,Tuscumbia,2026-10-01,2026-10-04,8,4,2.04,1.63,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,9.38,75
Pascagoula River (LBTC Unit) - Youth Hunt 7,Deer Youth,Pascagoula River (LBTC Unit),2026-12-24,2026-12-27,6,4,2.04,1.84,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Unknown (new or unmatched),,
Pascagoula River (LBTC Unit) - Youth Hunt 2,Deer Youth,Pascagoula River (LBTC Unit),2026-11-05,2026-11-08,6,4,2.03,1.83,Pre-Rut (Building Activity),Good (Quarter Moon),Unknown (new or unmatched),,
Pascagoula River (LBTC Unit) - Youth Hunt 3,Deer Youth,Pascagoula River (LBTC Unit),2026-11-12,2026-11-15,6,4,2.03,1.83,Pre-Rut (Building Activity),Good (Quarter Moon),Unknown (new or unmatched),,
Cossar State Park - Senior Hunt 2,Deer Senior,Cossar State Park,2027-01-06,2027-01-10,2,5,2.03,2.04,Post-Rut (Recovery Period),Excellent (New Moon Period),High,16.5,33
Sky Lake - PW Hunt 9,Deer Primitive Weapon,Sky Lake,2027-01-07,2027-01-09,15,3,2.02,2.02,Post-Rut (Recovery Period),Excellent (New Moon Period),High,11.0,165
Phil Bryant (Ten Point Unit) - Archery Hunt 7,Deer Archery,Phil Bryant (Ten Point Unit),2026-11-12,2026-11-15,24,4,2.01,2.01,Pre-Rut (Building Activity),Good (Quarter Moon),High,10.38,249
Twin Oaks - Archery Hunt 2,Deer Archery,Twin Oaks,2026-10-04,2026-10-05,15,2,2.01,1.59,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,6.47,97
Twin Oaks - PW Hunt 4,Deer Primitive Weapon,Twin Oaks,2026-11-15,2026-11-16,15,2,2.01,1.59,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,6.27,94
Twin Oaks - PW Hunt 9,Deer Primitive Weapon,Twin Oaks,2026-12-03,2026-12-04,15,2,2.01,1.59,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,9.2,138
Mahannah - Archery Hunt 4,Deer Archery,Mahannah,2026-10-11,2026-10-12,20,2,2.0,2.0,Pre-Rut (Building Activity),Excellent (New Moon Period),High,11.05,221
Sky Lake - PW Hunt 2,Deer Primitive Weapon,Sky Lake,2026-11-19,2026-11-21,15,3,2.0,1.56,Pre-Rut (Building Activity),Fair (Neutral),Moderate,8.2,123
Sky Lake - PW Hunt 3,Deer Primitive Weapon,Sky Lake,2026-11-26,2026-11-28,15,3,2.0,1.56,Pre-Rut (Building Activity),Fair (Neutral),Moderate,7.2,108
Howard Miller - Youth Hunt 6,Deer Youth,Howard Miller,2026-12-23,2026-12-23,1,1,2.0,1.56,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,8.0,8
Calling Panther - Archery Hunt 15,Deer Archery,Calling Panther,2027-01-07,2027-01-10,4,4,1.99,1.99,Post-Rut (Recovery Period),Excellent (New Moon Period),High,19.75,79
Phil Bryant (Buck Bayou Unit) - Archery Hunt 2,Deer Archery,Phil Bryant (Buck Bayou Unit),2026-10-04,2026-10-05,12,2,1.99,1.56,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,8.75,105
Phil Bryant (Buck Bayou Unit) - Archery Hunt 5,Deer Archery,Phil Bryant (Buck Bayou Unit),2026-10-15,2026-10-16,12,2,1.99,1.56,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,8.92,107
Natchez State Park - PW Hunt 4,Deer Primitive Weapon,Natchez State Park,2026-12-31,2027-01-03,12,4,1.99,2.41,Peak Rut (Prime Time),Good (Quarter Moon),Very High,35.83,430
Twin Oaks - Archery Hunt 1,Deer Archery,Twin Oaks,2026-10-01,2026-10-02,15,2,1.98,1.55,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,5.87,88
Twin Oaks - PW Hunt 5,Deer Primitive Weapon,Twin Oaks,2026-11-19,2026-11-20,15,2,1.98,1.55,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,5.67,85
Twin Oaks - PW Hunt 8,Deer Primitive Weapon,Twin Oaks,2026-11-29,2026-11-30,15,2,1.98,1.55,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,7.73,116
Black Prairie - Youth Hunt 1,Deer Youth,Black Prairie,2026-10-31,2026-11-01,15,2,1.98,1.55,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,6.6,99
Calling Panther - Archery Hunt 8,Deer Archery,Calling Panther,2026-11-19,2026-11-22,4,4,1.97,1.53,Pre-Rut (Building Activity),Fair (Neutral),Moderate,9.5,38
Phil Bryant (Buck Bayou Unit) - Archery Hunt 6,Deer Archery,Phil Bryant (Buck Bayou Unit),2026-10-18,2026-10-19,12,2,1.96,1.52,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,9.58,115
Tuscumbia - PW Hunt 4,Deer Primitive Weapon,Tuscumbia,2026-10-22,2026-10-25,8,4,1.96,1.51,Pre-Rut (Building Activity),Fair (Neutral),Moderate,9.12,73
Twin Oaks - PW Hunt 11,Deer Primitive Weapon,Twin Oaks,2026-12-10,2026-12-11,15,2,1.96,1.95,Pre-Rut (Building Activity),Excellent (New Moon Period),High,15.33,230
Sky Lake - Archery Hunt 4,Deer Archery,Sky Lake,2026-10-22,2026-10-24,15,3,1.95,1.5,Pre-Rut (Building Activity),Fair (Neutral),Moderate,7.93,119
Natchez State Park - Youth Hunt 2,Deer Youth,Natchez State Park,2026-10-31,2026-11-01,10,2,1.95,1.5,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,6.0,60
Twin Oaks - Archery Hunt 7,Deer Archery,Twin Oaks,2026-10-22,2026-10-23,15,2,1.94,1.49,Pre-Rut (Building Activity),Fair (Neutral),Moderate,5.6,84
Twin Oaks - Archery Hunt 9,Deer Archery,Twin Oaks,2026-10-29,2026-10-30,15,2,1.94,1.49,Pre-Rut (Building Activity),Fair (Neutral),Moderate,9.13,137
Alligator - PW Hunt 1,Deer Primitive Weapon,Alligator,2026-11-21,2026-11-22,36,2,1.94,1.7,Pre-Rut (Building Activity),Fair (Neutral),Unknown (new or unmatched),,
Muscadine Farms - (Washington Tract) Youth Hunt 13,Deer Youth,Muscadine Farms,2027-01-29,2027-01-30,1,2,1.94,1.06,Late Season (Food Focus),Good (Quarter Moon),Low,5.0,5
Calling Panther - Archery Hunt 14,Deer Archery,Calling Panther,2026-12-31,2027-01-03,4,4,1.93,2.33,Peak Rut (Prime Time),Good (Quarter Moon),Very High,25.5,102
Phil Bryant (Buck Bayou Unit) - Archery Hunt 7,Deer Archery,Phil Bryant (Buck Bayou Unit),2026-10-22,2026-10-23,12,2,1.92,1.46,Pre-Rut (Building Activity),Fair (Neutral),Moderate,9.92,119
Trim Cane - Youth Hunt 6,Deer Youth,Trim Cane,2027-01-30,2027-01-30,6,1,1.92,1.03,Late Season (Food Focus),Good (Quarter Moon),Low,3.0,18
Twin Oaks - Archery Hunt 8,Deer Archery,Twin Oaks,2026-10-25,2026-10-26,15,2,1.9,1.43,Pre-Rut (Building Activity),Fair (Neutral),Moderate,6.73,101
Twin Oaks - PW Hunt 6,Deer Primitive Weapon,Twin Oaks,2026-11-22,2026-11-23,15,2,1.9,1.43,Pre-Rut (Building Activity),Fair (Neutral),Moderate,6.2,93
Hell Creek - Gun Hunt 3,Deer Gun,Hell Creek,2026-10-15,2026-10-18,25,4,1.89,1.84,Pre-Rut (Building Activity),Good (Quarter Moon),High,12.2,305
Mahannah - Gun Hunt 7,Deer Gun,Mahannah,2026-12-24,2026-12-25,20,2,1.88,1.83,Pre-Peak Rut (Chasing Activity),Fair (Neutral),High,15.95,319
Pascagoula River (LBTC Unit) - Youth Hunt 1,Deer Youth,Pascagoula River (LBTC Unit),2026-10-29,2026-11-01,6,4,1.88,1.61,Pre-Rut (Building Activity),Good (Quarter Moon),Unknown (new or unmatched),,
Calling Panther - Archery Hunt 6,Deer Archery,Calling Panther,2026-11-05,2026-11-08,4,4,1.87,1.81,Pre-Rut (Building Activity),Good (Quarter Moon),High,14.75,59
Calling Panther - Archery Hunt 7,Deer Archery,Calling Panther,2026-11-12,2026-11-15,4,4,1.87,1.81,Pre-Rut (Building Activity),Good (Quarter Moon),High,11.5,46
Calling Panther - Archery Hunt 13,Deer Archery,Calling Panther,2026-12-24,2026-12-27,4,4,1.87,1.82,Pre-Peak Rut (Chasing Activity),Fair (Neutral),High,14.75,59
Natchez State Park - Youth Hunt 1,Deer Youth,Natchez State Park,2026-10-24,2026-10-25,10,2,1.87,1.38,Pre-Rut (Building Activity),Fair (Neutral),Moderate,5.4,54
